airline,airline_code,currency,band,2026-04,2026-05,2026-06,2026-07
Korean Air,KE,KRW,~499,42000,75000,61500,46400
Korean Air,KE,KRW,500~999,57000,102000,84000,62400
Korean Air,KE,KRW,1000~1499,78000,144000,117000,86400
Korean Air,KE,KRW,1500~1999,97500,180000,147000,108800
Korean Air,KE,KRW,2000~2999,123000,253500,205500,139200
Korean Air,KE,KRW,3000~3999,126000,256500,210000,147200
Korean Air,KE,KRW,4000~4999,199500,345000,282000,214400
Korean Air,KE,KRW,5000~6499,276000,501000,409500,318400
Korean Air,KE,KRW,6500~9999,303000,564000,451500,344000
Asiana Airlines,OZ,KRW,1,43900,85400,68000,48500
Asiana Airlines,OZ,KRW,2,65900,125800,100500,71200
Asiana Airlines,OZ,KRW,3,86400,164700,131500,94000
Asiana Airlines,OZ,KRW,4,106900,203700,162600,116700
Asiana Airlines,OZ,KRW,5,127400,242600,195100,139400
Asiana Airlines,OZ,KRW,6,147900,281500,226100,162200
Asiana Airlines,OZ,KRW,7,169900,320500,257100,184900
Asiana Airlines,OZ,KRW,8,210900,398300,320700,230400
Asiana Airlines,OZ,KRW,9,251900,476200,382800,275800
Air Premia,YP,USD,~999,46400,85550,69600,47850
Air Premia,YP,USD,1000~1499,60900,113100,92800,63800
Air Premia,YP,USD,1500~1999,78300,147900,120350,84100
Air Premia,YP,USD,2000~2499,102950,189950,155150,108750
Air Premia,YP,USD,4000~4999,178350,332050,271150,188500
Air Premia,YP,USD,5000~6499,224750,421950,342200,237800
Air Premia,YP,USD,6500+,281300,529250,429200,297250
Jeju Air,7C,USD,1,42050,75400,60900,43500
Jeju Air,7C,USD,2,53650,95700,78300,55100
Jeju Air,7C,USD,3,63800,116000,94250,66700
Jeju Air,7C,USD,4,76850,137750,113100,79750
Jeju Air,7C,USD,5,87000,155150,129050,89900
Jeju Air,7C,USD,6,98600,182700,150800,104400
Jin Air,LJ,USD,1~599,36250,60900,52200,39150
Jin Air,LJ,USD,600~1199,50750,95700,78300,53650
Jin Air,LJ,USD,1200~1799,84100,155150,126150,88450
Jin Air,LJ,USD,1800~2399,91350,169650,139200,97150
Jin Air,LJ,USD,2400~3599,110200,203000,166750,114550
Eastar Jet,ZE,USD,1,42050,75400,62350,43500
Eastar Jet,ZE,USD,2,53650,95700,78300,55100
Eastar Jet,ZE,USD,3,63800,116000,95700,65250
Eastar Jet,ZE,USD,4,76850,137750,114550,79750
Eastar Jet,ZE,USD,5,87000,155150,129050,89900
Eastar Jet,ZE,USD,6,98600,182700,149350,104400
T'way Air,TW,KRW,1,30800,58600,47400,33400
T'way Air,TW,KRW,2,54200,103600,82900,59200
T'way Air,TW,KRW,3,67400,129100,103600,74400
T'way Air,TW,KRW,4,87900,168200,134700,97200
T'way Air,TW,KRW,5,95200,180200,145000,104700
T'way Air,TW,KRW,7,213900,406900,327000,233800
Air Seoul,RS,KRW,1,46800,94500,75300,54500
Air Seoul,RS,KRW,2,54100,109500,87100,62100
Air Seoul,RS,KRW,3,68700,141000,109200,80300
Air Seoul,RS,KRW,4,77500,153000,125500,90900
Air Seoul,RS,KRW,5,80500,165000,132800,93900
Air Busan,BX,USD,short,42050,75400,62350,43500
Air Busan,BX,USD,medium1,73950,136300,111650,78300
Air Busan,BX,USD,medium2,87000,158050,130500,92800
Air Busan,BX,USD,long,101500,182700,153700,107300
