from_month,to_month,ticketing_date,route_profile,current_period,next_period,current_avg_krw_per_bbl,next_avg_krw_per_bbl,yuta_change_rate,yuta_direction,yuta_app_signal,yuta_app_direction,estimated_route_impact_krw,actual_avg_from,actual_avg_to,actual_change_rate,actual_direction,direction_matched,app_signal_matched,actual_row_count,actual_row_direction_counts
2025-12,2026-01,2025-12-15,short_800mi,2025-10-16~2025-11-15,2025-11-16~2025-12-15,93831.6435,93075.855,-0.8055,FLAT,NEUTRAL,FLAT,604.6308,65250,65250,0,FLAT,true,true,1,"{""FLAT"":1}"
2025-12,2026-01,2025-12-15,medium_1900mi,2025-10-16~2025-11-15,2025-11-16~2025-12-15,93831.6435,93075.855,-0.8055,FLAT,NEUTRAL,FLAT,1435.9981,65250,65250,0,FLAT,true,true,1,"{""FLAT"":1}"
2025-12,2026-01,2025-12-15,long_3600mi,2025-10-16~2025-11-15,2025-11-16~2025-12-15,93831.6435,93075.855,-0.8055,FLAT,NEUTRAL,FLAT,2720.8385,65250,65250,0,FLAT,true,true,1,"{""FLAT"":1}"
2026-01,2026-02,2026-01-15,short_800mi,2025-11-16~2025-12-15,2025-12-16~2026-01-15,93075.855,88640.1145,-4.7657,DOWN,NEUTRAL,FLAT,3548.5924,60200,41100,-31.7276,DOWN,true,false,2,"{""DOWN"":2}"
2026-01,2026-02,2026-01-15,medium_1900mi,2025-11-16~2025-12-15,2025-12-16~2026-01-15,93075.855,88640.1145,-4.7657,DOWN,NEUTRAL,FLAT,8427.907,60200,41100,-31.7276,DOWN,true,false,2,"{""DOWN"":2}"
2026-01,2026-02,2026-01-15,long_3600mi,2025-11-16~2025-12-15,2025-12-16~2026-01-15,93075.855,88640.1145,-4.7657,DOWN,NEUTRAL,FLAT,15968.666,60200,41100,-31.7276,DOWN,true,false,2,"{""DOWN"":2}"
2026-02,2026-03,2026-02-15,short_800mi,2025-12-16~2026-01-15,2026-01-16~2026-02-15,88640.1145,94792.8788,6.9413,UP,NEUTRAL,FLAT,4922.2115,41100,51425,25.1217,UP,true,false,2,"{""UP"":2}"
2026-02,2026-03,2026-02-15,medium_1900mi,2025-12-16~2026-01-15,2026-01-16~2026-02-15,88640.1145,94792.8788,6.9413,UP,NEUTRAL,FLAT,11690.2523,41100,51425,25.1217,UP,true,false,2,"{""UP"":2}"
2026-02,2026-03,2026-02-15,long_3600mi,2025-12-16~2026-01-15,2026-01-16~2026-02-15,88640.1145,94792.8788,6.9413,UP,WEAK_SIGNAL,UP,22149.9517,41100,51425,25.1217,UP,true,true,2,"{""UP"":2}"
2026-03,2026-04,2026-03-15,short_800mi,2026-01-16~2026-02-15,2026-02-16~2026-03-15,94792.8788,133896.0405,41.2512,UP,BUY_NOW,UP,31282.5293,51425,160200,211.5216,UP,true,true,2,"{""UP"":2}"
2026-03,2026-04,2026-03-15,medium_1900mi,2026-01-16~2026-02-15,2026-02-16~2026-03-15,94792.8788,133896.0405,41.2512,UP,BUY_NOW,UP,74296.0071,51425,160200,211.5216,UP,true,true,2,"{""UP"":2}"
2026-03,2026-04,2026-03-15,long_3600mi,2026-01-16~2026-02-15,2026-02-16~2026-03-15,94792.8788,133896.0405,41.2512,UP,BUY_NOW,UP,140771.3818,51425,160200,211.5216,UP,true,true,2,"{""UP"":2}"
2026-04,2026-05,2026-04-15,short_800mi,2026-02-16~2026-03-15,2026-03-16~2026-04-15,133896.0405,192146.0916,43.5039,UP,BUY_NOW,UP,46600.0409,160200,300150,87.3596,UP,true,true,2,"{""UP"":2}"
2026-04,2026-05,2026-04-15,medium_1900mi,2026-02-16~2026-03-15,2026-03-16~2026-04-15,133896.0405,192146.0916,43.5039,UP,BUY_NOW,UP,110675.0971,160200,300150,87.3596,UP,true,true,2,"{""UP"":2}"
2026-04,2026-05,2026-04-15,long_3600mi,2026-02-16~2026-03-15,2026-03-16~2026-04-15,133896.0405,192146.0916,43.5039,UP,BUY_NOW,UP,209700.184,160200,300150,87.3596,UP,true,true,2,"{""UP"":2}"
2026-05,2026-06,2026-05-15,short_800mi,2026-03-16~2026-04-15,2026-04-16~2026-05-15,192146.0916,152609.9581,-20.5761,DOWN,WAIT,DOWN,31628.9068,300150,240950,-19.7235,DOWN,true,true,2,"{""DOWN"":2}"
2026-05,2026-06,2026-05-15,medium_1900mi,2026-03-16~2026-04-15,2026-04-16~2026-05-15,192146.0916,152609.9581,-20.5761,DOWN,WAIT,DOWN,75118.6536,300150,240950,-19.7235,DOWN,true,true,2,"{""DOWN"":2}"
2026-05,2026-06,2026-05-15,long_3600mi,2026-03-16~2026-04-15,2026-04-16~2026-05-15,192146.0916,152609.9581,-20.5761,DOWN,WAIT,DOWN,142330.0804,300150,240950,-19.7235,DOWN,true,true,2,"{""DOWN"":2}"
2026-06,2026-07,2026-06-15,short_800mi,2026-04-16~2026-05-15,2026-05-16~2026-06-15,152609.9581,145691.783,-4.5332,DOWN,NEUTRAL,FLAT,5534.5401,240950,178675,-25.8456,DOWN,true,false,2,"{""DOWN"":2}"
2026-06,2026-07,2026-06-15,medium_1900mi,2026-04-16~2026-05-15,2026-05-16~2026-06-15,152609.9581,145691.783,-4.5332,DOWN,NEUTRAL,FLAT,13144.5328,240950,178675,-25.8456,DOWN,true,false,2,"{""DOWN"":2}"
2026-06,2026-07,2026-06-15,long_3600mi,2026-04-16~2026-05-15,2026-05-16~2026-06-15,152609.9581,145691.783,-4.5332,DOWN,WEAK_SIGNAL,DOWN,24905.4305,240950,178675,-25.8456,DOWN,true,true,2,"{""DOWN"":2}"
